Tourist_Spot,Address,Zipcode,latitude,longitude
47th Street - The Diamond District,"47th St. betw. Fifth & Sixth Aves. Manhattan, NY 10036, Midtown West",10036,,
9/11 Memorial & Museum,"World Trade Center (museum: 180 Greenwich St.) Manhattan, NY 1000, Lower Manhattan",10007,,
Abyssinian Baptist Church,"132 Odell Clark Place New York, NY 10030, Harlem",10030,,
Alice Austen House Museum,"2 Hylan Blvd. Staten Island, NY 10305, Staten Island",10305,,
Alice Tully Hall,"1941 Broadway Manhattan, NY 10023, Upper West Side",10023,40.7778704,-73.9821799
Alvin Ailey American Dance Theate,"405 W. 55th St. Manhattan, NY 10019, Midtown West",10019,40.7669219,-73.9869645
American Girl Place,"609 Fifth Ave. Manhattan, NY 10017, Midtown East",10017,,
American Museum of Natural History,"Central Park West at 79th St. Manhattan, NY 10024, Upper West Side",10024,,
Apollo Theater,"253 W. 125th St.  Manhattan, NY 10027, Harlem",10027,40.810089500000004,-73.94999478832457
arts>Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,40.7123174,-74.0156188
Barclays Center,"620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights",11217,40.68386316326531,-73.9771835510204
Bartow-Pell Mansion Museum,"895 Shore Rd. Bronx, NY 10464, Pelham Bay",10464,,
Bateaux New York,"Pier 61, Chelsea Piers (23rd St. & Hudson River) Manhattan, NY 10011, Chelsea",10011,,
Bronx Brewery,"856 East 136th Street NY 10454, South Bronx",10454,,
Bronx Library Center,"310 E. Kingsbridge Rd. Bronx, NY 10458, Fordham",10458,40.863092800000004,-73.89451320075729
Bronx Zoo,"2300 Southern Blvd. Bronx, NY 10460, Fordham",10460,,
Brooklyn Botanic Garden,"1000 Washington Ave. Brooklyn, NY 11225, Prospect Heights",11225,40.6714988,-73.9625371
Brooklyn Bridge,"Tillary St Brooklyn, NY 11201,Downtown Brooklyn",11201,40.6962103,-73.9907965
Brooklyn Heights Promenade,"Brooklyn-Queens Expressway Brooklyn , NY 11201, Brooklyn Heights",11201,40.6956299,-73.9983246
Brooklyn Historical Society,"128 Pierrepont St. Brooklyn, NY 11201, Brooklyn Heights",11201,40.69475685,-73.99242965104258
Brooklyn Navy Yard,"63 Flushing Ave, bldg 292, unit 300 (main office) Brooklyn, NY 11205, Navy Yard",11205,,
